Date,time,title,segment,pred,neg,pos,neu,Index_Change,Percent_Change,Direction_Change,Open,Highest,Lowest,Closed,AVG,Adjusted_Closed,Volume,Company_Code
7/12/2022,7:40,Thêm ngân hàng giảm lãi suất cho khách hàng vay kinh doanh,thêm ngân_hàng giảm lãi_suất cho khách_hàng vay kinh_doanh,2,0.031923544,0.21586269,0.7522138,4.6,6.91%,+,69.2,71.2,68.5,71.2,70.62,71.2,9421500,VIC
6/12/2022,13:36,VIB: Phiếu lấy ý kiến cổ đông bằng văn bản,vib : phiếu lấy ý_kiến cổ_đông bằng văn_bản,2,0.06734054,0.044149548,0.8885099,-1.5,-2.20%,-,68.1,68.5,65,66.6,66.89,66.6,1803300,VIC
6/12/2022,13:36,"VIB: Đề cử, ứng cử HĐQT, BKS","vib : đề_cử , ứng_cử hđqt , bks",2,0.04558694,0.052211203,0.9022019,-1.5,-2.20%,-,68.1,68.5,65,66.6,66.89,66.6,1803300,VIC
5/12/2022,13:48,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 144.200 cp,vib : vợ ông trần_nhất_minh - phó tgđ đã bán 144.200 cp,0,0.98201203,0.004339589,0.013648418,-0.7,-1.02%,-,68.8,70,68,68.1,68.93,68.1,2301900,VIC
9/11/2022,17:04,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 60.000 cp,vib : vợ ông trần_nhất_minh - phó tgđ đã bán 60.000 cp,0,0.9829149,0.004229626,0.01285551,0.4,0.75%,+,53.3,54.3,52.2,53.7,53.53,53.7,1573900,VIC
